BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
X - 18913		200			42298	LC/MS (-)	4550.4	185.11856				0.080651634	1.280374832	-2.300211197	1.895740297	
phenylalanylalanine	578	176	Peptide	Dipeptide	41374	LC/MS (+)	2047.6	237.12337	3918-87-4	6993123;5488196		-0.155937985	1.400892091	-1.661768314	2.81800507	
X - 18921		200			42306	LC/MS (-)	4887	193.12312				-0.067446058	1.231561544	-2.605360391	1.775871242	
X - 15672		52			37921	LC/MS (+)	1911	340.10233				-1.452187892	0.85570499	-0.486052008	4.463517394	
X - 17765		73			40867	LC/MS (-)	4596.2	489.27084				-1.247091032	1.004627473	-0.489419101	4.902033856	
X - 17676		41			40773	LC/MS (-)	1509.5	167.04633				-0.698201415	0.357096279	-0.490722961	2.911274843	
X - 14318		200			36244	LC/MS (+)	2509	247.12922				0.268493584	0.950952213	-1.956212212	4.524009163	
X - 17351		48			40159	LC/MS (-)	3391.8	243.07764				-1.738562723	0.963328468	-0.494063373	2.995306723	
X - 16087		90			38530	LC/MS (-)	4164	443.15527				-1.125417314	0.649470346	-0.497014218	3.323789734	
alanylleucine	396	144	Peptide	Dipeptide	37093	LC/MS (+)	2150	203.13902	1638-60-4	259583		-0.531305498	2.024933488	-1.13034461	3.214666506	
X - 17761		128			40863	LC/MS (+)	4910.6	274.18301				-0.631394708	1.323123294	-1.26945551	2.005569057	
2-methoxyacetaminophen sulfate*	2771	32	Xenobiotics	Drug	33178	LC/MS (-)	1977	260.02343				-4.463948871	2.503439806	-0.49824124	3.548110864	
X - 14445		200			36371	LC/MS (+)	3235	243.13393				0.146591001	1.083159349	-1.988307989	3.061326362	
X - 12015		71			33361	LC/MS (-)	1318	216.0875				-1.012096643	1.0944217	-0.502173167	3.738575682	
X - 12704		51			34314	LC/MS (-)	1252	274.00259				-2.023468644	1.199048006	-0.502527583	2.737671952	
X - 12879		86			34563	LC/MS (-)	1124	147.0662				-0.725949198	1.267451082	-0.503977099	4.586642529	
X - 15863		199			38212	LC/MS (+)	1470	235.11888				0.315840588	1.144559306	-1.441145632	6.374988058	
threonylproline	640	64	Peptide	Dipeptide	42005	LC/MS (-)	1492	215.10373	281670-51-7			-0.887184287	0.571798386	-0.505099938	3.202031802	
hexadecanedioate (C16)	1072	200	Lipid	"Fatty Acid, Dicarboxylate"	35678	LC/MS (-)	4650	285.20713	505-54-4	10459	C19615	0.237957772	0.938194811	-1.435277278	6.252987275	HMDB00672
X - 12027		41			33378	LC/MS (-)	2730	242.01242				-0.677596934	0.78700251	-0.505989475	4.209943603	
3-(3-hydroxyphenyl)propionate	164	73	Amino Acid	Phenylalanine and Tyrosine Metabolism	35635	LC/MS (-)	2000	165.05571	621-54-5	91	C11457	-1.029951242	0.839226285	-0.638942791	2.865463231	HMDB00375
X - 18888		64			42273	LC/MS (-)	2539.8	267.12421				-1.069826239	0.9242636	-0.509983541	4.560050165	
X - 20354		48			44949	LC/MS (+)	1548.4	439.17856				-3.935720983	2.463274745	-0.511696971	3.887183932	
N-acetylphenylalanine	94	174	Amino Acid	Phenylalanine and Tyrosine Metabolism	33950	LC/MS (+)	3563	208.09682	2018-61-3	74839	C03519	-0.234735821	0.806609674	-1.359176015	3.424832848	HMDB00512
X - 18935		54			42322	LC/MS (-)	1932.1	227.99741				-1.268157195	0.807212469	-0.513841904	3.01843945	
X - 18241		54			41345	LC/MS (-)	2459.2	240.98076				-1.461316186	1.200624377	-0.514902521	4.148006509	
X - 17715		155			40815	LC/MS (+)	2364.4	330.08139				-0.575988821	1.124474297	-1.435578189	2.738419499	
O-sulfo-L-tyrosine	3020	200	Xenobiotics	Chemical	45413	LC/MS (-)	1006.1	260.02343		514186		0.020166813	0.501461092	-2.429585586	2.726055897	
X - 15605		154			37854	LC/MS (-)	3119	270.05411				-0.219373231	0.569712609	-1.076980706	2.794728727	
N-oleoyltaurine	1297	191	Lipid	Endocannabinoid	39732	LC/MS (-)	5599.9	388.2527	52514-04-2	6437033		-0.062354593	1.249829433	-2.00070261	1.673940396	
N-acetyl-aspartyl-glutamate (NAAG)	40	200	Amino Acid	Glutamate Metabolism	35665	LC/MS (+)	1563	305.09795	3106-85-2	5255	C12270	0.158234505	0.995972416	-2.180011136	2.209907798	HMDB01067
X - 18909		54			42294	LC/MS (-)	4210.2	221.084				-2.914088146	2.560982006	-0.519276861	3.10596892	
2-hydroxyacetaminophen sulfate*	2770	37	Xenobiotics	Drug	33173	LC/MS (-)	1703	246.00778				-4.375641312	2.984326632	-0.519540364	2.830431853	
o-cresol sulfate	128	47	Amino Acid	Phenylalanine and Tyrosine Metabolism	36845	LC/MS (-)	2821	187.00705		11615528		-1.122129895	1.150631284	-0.521009979	3.37355733	
X - 15646		84			37895	LC/MS (-)	2888	343.08602				-1.515902136	1.588110791	-0.522665679	4.38320284	
"cys-gly, oxidized"	359	81	Amino Acid	Glutathione Metabolism	18368	LC/MS (-)	955	353.0595	7729-20-6	333293		-1.29999928	0.731138698	-0.524806936	4.024861244	
"5alpha-androstan-3beta,17beta-diol monosulfate 2*"	1615	64	Lipid	Steroid	37192	LC/MS (-)	4672	371.18976				-2.100075168	0.918278236	-0.525079386	3.826700446	
X - 16133		66			38580	LC/MS (+)	2640.8	453.24493				-1.200263354	1.249888674	-0.527343175	3.602471229	
O-methylcatechol sulfate	2380	183	Xenobiotics	Benzoate Metabolism	42496	LC/MS (-)	2360	203.00196		22473		-0.698330349	1.949254436	-1.84103703	2.180589718	
5-acetylamino-6-amino-3-methyluracil	2419	62	Xenobiotics	Xanthine Metabolism	34424	LC/MS (-)	1025	197.06801	19893-78-8	88299	C16366	-2.249497306	1.099462512	-0.530764729	3.149647971	HMDB04400
X - 16674		146			39250	LC/MS (-)	1361.5	217.1082				-0.338169501	1.025291674	-1.06141706	3.169112173	
arginylleucine	423	60	Peptide	Dipeptide	39995	LC/MS (+)	1620	288.20302	1188-24-5	333445		-1.699007284	1.153802345	-0.537954849	2.859973478	
isovalerylglycine	224	65	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	35107	LC/MS (-)	1961	158.08226	16284-60-9	546304		-0.895251459	0.713739054	-0.538748886	3.478826812	HMDB00678
X - 11838		36			33183	LC/MS (-)	2314	276.0001				-4.543086718	2.865980994	-0.543675874	3.686910544	
X - 12848		48			34531	LC/MS (-)	4288	350.06974				-1.554074546	1.176357772	-0.545233295	3.539121452	
X - 16071		200			38514	LC/MS (+)	3616	146.06001				-0.129682064	0.510211288	-2.369439769	3.217706487	
erythritol	2612	200	Xenobiotics	Food Component/Plant	20699	GC/MS	1517.5	217	149-32-6	222285	C00503	-0.071530781	0.499778623	-2.623277232	2.500502856	HMDB02994
X - 11323		199			32640	LC/MS (+)	3408	172.13309				1.229370705	2.964996826	-1.22397626	2.365308713	
X - 12114		140			33529	LC/MS (+)	1517	365.17397				-0.847257079	1.150804811	-1.181744728	3.38975354	
X - 16975		180			39561	LC/MS (+)	2291.8	255.13383				-0.11321548	1.578735261	-1.889209542	2.022619974	
X - 13729		59			35539	LC/MS (-)	1754	241.97601				-1.05048225	0.759046886	-0.5528813	3.158995747	
X - 20598		69			45199	LC/MS (+)	3208.6	266.10214				-3.869113677	1.928107328	-0.553253381	3.317826226	
cyclo(L-phe-L-pro)	458	188	Peptide	Dipeptide	37095	LC/MS (+)	3651	245.12846		9837725;443440	C11847	0.054645748	1.035372294	-2.086039215	2.099987289	
6-oxopiperidine-2-carboxylic acid	2802	200	Xenobiotics	Drug	43231	LC/MS (+)	1856.7	144.06552	34622-39-4	3014237		-0.000937721	0.531291746	-2.155466522	3.157672212	
3-(cystein-S-yl)acetaminophen*	2772	39	Xenobiotics	Drug	34365	LC/MS (+)	1960	271.07471		5233914		-4.935661455	3.145961664	-0.555626478	3.143772017	
X - 11861		70			33206	LC/MS (-)	4617	229.1446				-0.684775066	0.731028946	-0.556546533	3.922037819	
pyroglutamylvaline	613	104	Peptide	Dipeptide	32394	LC/MS (-)	1755	227.10373	21282-10-0	152416		-0.570692708	1.217490529	-0.557422159	6.444385777	
phenylalanylisoleucine	584	173	Peptide	Dipeptide	40069	LC/MS (+)	3050	279.17032	22951-94-6			-0.607191283	1.378129683	-1.538467242	2.324459106	
X - 12060		70			33412	LC/MS (-)	3497	170.11896				-1.486825317	1.880096144	-0.558987697	3.650639017	
pivaloylcarnitine (C5)	2934	170	Xenobiotics	Drug	35432	LC/MS (+)	2370	246.16999		126894		-0.156328215	1.198431721	-1.38568091	3.232374879	HDMB41993
isoleucylisoleucine	515	85	Peptide	Dipeptide	36761	LC/MS (+)	2678	245.18597	42537-99-5			-0.617161898	0.585059397	-0.561829595	3.445429612	
X - 12830		53			34513	LC/MS (-)	3182	372.11147				-1.70938561	1.256889727	-0.562272161	3.528065954	
X - 12818		49			34501	LC/MS (-)	2702	263.02311				-0.869334613	0.896103014	-0.562681561	3.031435932	
"1,3-dimethylurate"	2412	70	Xenobiotics	Xanthine Metabolism	32391	LC/MS (-)	1681	195.05236	944-73-0	70346		-1.347698472	0.853286752	-0.565971238	3.046559677	HMDB01857
X - 11998		70			33344	LC/MS (-)	855	155.00237				-1.907591299	1.683082643	-0.566252188	3.338622452	
"5alpha-pregnan-3alpha,20beta-diol disulfate 1*"	1571	92	Lipid	Steroid	37201	LC/MS (-)	4287	239.0853				-0.670282339	1.537754526	-0.566909936	4.713046086	
X - 11437		181			32754	LC/MS (-)	2888	230.99644				-1.30200134	3.160269941	-2.285678869	2.143939924	
cis-aconitate	916	199	Energy	TCA Cycle	12025	LC/MS (-)	603	173.00916	585-84-2	643757	C00417	0.114757451	0.522347004	-3.442440089	2.097558187	HMDB00072
cortisone	1586	200	Lipid	Steroid	1769	LC/MS (+)	4420	361.20095	53-06-5	222786	C00762	0.083338719	0.755808463	-3.661198972	2.584516584	HMDB02802
7-alpha-hydroxycholesterol	1505	52	Lipid	Sterol	35692	GC/MS	2300	456.2	566-26-7	107722	C03594	-1.370287262	0.770673578	-0.57203341	2.688912228	HMDB01496
tigloylglycine	253	147	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	1598	LC/MS (+)	2523	158.08117	35842-45-6	6441567		-0.421299733	1.26040157	-1.156132683	2.549644238	HMDB00959
X - 19574		65			43130	LC/MS (-)	4045.7	307.0285				-1.76685928	1.772745833	-0.574211934	4.375788835	
HWESASXX*	697	200	Peptide	Polypeptide	32836	LC/MS (+)	3520	471.73762				0.599963474	1.043910381	-2.511386456	2.717052553	
3-methoxytyramine sulfate	137	100	Amino Acid	Phenylalanine and Tyrosine Metabolism	44618	LC/MS (-)	1705.3	246.04416				-0.777805457	1.26629699	-0.575204066	5.786800956	
leucylleucine	533	200	Peptide	Dipeptide	36756	LC/MS (+)	3012	245.18597	3303-31-9	76807	C11332	0.47863805	1.407278302	-3.047034629	3.282453617	HMDB28933
X - 12435		119			33877	LC/MS (-)	3174	357.10175				-1.780183381	1.721782743	-0.581681364	2.725301997	
deoxycholate	1659	56	Lipid	Secondary Bile Acid Metabolism	1114	GC/MS	2356	255.2	83-44-3	222528	C04483	-1.612743522	1.080229422	-0.58187102	2.841677567	HMDB00626
suberate (octanedioate)	1063	100	Lipid	"Fatty Acid, Dicarboxylate"	15730	LC/MS (-)	831	173.08193	505-48-6	10457	C08278	-0.818761334	1.266604428	-0.583294676	3.975108771	HMDB00893
histidylvaline	504	196	Peptide	Dipeptide	42069	LC/MS (+)	849	255.14517	76019-15-3			0.480805436	1.787223798	-2.194969831	2.42685537	
X - 18964		88			42351	LC/MS (-)	4494.7	287.612				-0.706256548	1.771334964	-0.585051636	4.664325738	
caprylate (8:0)	940	200	Lipid	Medium Chain Fatty Acid	32492	LC/MS (-)	4367	143.10775	124-07-2	379	C06423	0.368162899	1.603189314	-1.256293551	3.367320684	HMDB00482
heptanoate (7:0)	939	200	Lipid	Medium Chain Fatty Acid	1644	LC/MS (-)	3695	129.0921	111-14-8	8094	C17714	0.076108056	0.544315067	-1.998337331	4.850043099	HMDB00666
X - 14097		198			36021	LC/MS (+)	970	258.14456				0.115973891	0.909987827	-1.368452804	3.937508298	
X - 12839		59			34522	LC/MS (-)	3878	269.15069				-0.879362833	0.790831426	-0.588247656	3.323635997	
X - 13551		64			35329	LC/MS (+)	4760	312.1359				-1.282923104	1.214184435	-0.591248752	3.599048155	
X - 12283		63			33829	LC/MS (-)	2980	243.07765				-1.278111916	0.845801216	-0.595582332	2.664254316	
p-cresol sulfate	122	200	Amino Acid	Phenylalanine and Tyrosine Metabolism	36103	LC/MS (-)	2896	187.00705	3233-57-7	4615423	C01468	-0.592203748	2.180274901	-3.890052499	1.192402014	HMDB11635
X - 18774		71			42139	LC/MS (-)	3551.7	345.228				-0.736750137	1.195662111	-0.596084441	3.957665187	
X - 12024		72			33370	LC/MS (-)	1900	206.99652				-1.044863161	1.005300351	-0.596606462	4.78059012	
7-ketodeoxycholate	1690	68	Lipid	Secondary Bile Acid Metabolism	31904	LC/MS (-)	4840	405.26464	911-40-0	188292		-1.454560956	1.518637917	-0.597668133	3.86230751	HMDB00391
valylglutamine	677	65	Peptide	Dipeptide	42079	LC/MS (-)	1495	244.13028	42854-54-6	5253209		-1.13689349	0.873179186	-0.599391523	2.835513213	
cysteine-glutathione disulfide	355	189	Amino Acid	Glutathione Metabolism	35159	LC/MS (+)	821	427.09519	13081-14-6	4247235		-0.687641457	1.186193572	-1.87020963	2.939039152	HMDB00656
alpha-hydroxyisovalerate	236	199	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	33937	LC/MS (-)	1142	117.05571	600-37-3	99823		0.112574891	0.935561824	-2.849680036	2.808908772	HMDB00407
X - 12742		167			34352	LC/MS (-)	2534	241.11885				-0.313332587	1.871703178	-1.63233591	2.377681239	
X - 12814		73			34497	LC/MS (-)	2597	405.17576				-1.043733689	0.849105462	-0.612487034	2.847795592	
"N2,N2-dimethylguanosine"	2178	200	Nucleotide	"Purine Metabolism, Guanine containing"	35137	LC/MS (+)	2157	312.13025	2140-67-2	92919		0.116051493	0.622191497	-1.752126243	3.655345831	HMDB04824
valylvaline	690	196	Peptide	Dipeptide	40728	LC/MS (+)	1842	217.15467	3918-94-3	409682;4280382		0.093754647	1.409665646	-1.844985331	4.415593055	
X - 17717		200			40817	LC/MS (+)	2593	304.14981				0.025202437	0.645855277	-1.902260141	3.822165963	
X - 18965		102			42352	LC/MS (-)	4727	442.1905				-1.077582853	1.618992067	-0.622242534	2.84451696	
sphingomyelin	1474	200	Lipid	Sphingolipid Metabolism	19503	GC/MS	2645	311.3	85187-10-6;85187-10-6	6453725	C00550	0.067132795	0.697350389	-3.236882055	2.12010575	HMDB01348
2-stearoylglycerol (18:0)	1450	60	Lipid	Monoacylglycerol	34059	GC/MS	2178	341.3	621-61-4	79075		-0.814146964	0.763222928	-0.625046157	2.813554317	
X - 12254		49			33676	LC/MS (-)	2604	239.99728				-1.695477378	1.578828399	-0.626077911	3.198548916	
dihomolinolenate (20:3n3 or 3n6)	993	200	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	35718	LC/MS (-)	5600	305.2486	17046-59-2	5280581	C03242	-0.076435191	0.620319731	-2.527020644	1.98341804	HMDB02925
X - 13007		78			34692	LC/MS (-)	4584	329.23288				-1.334571827	1.186108687	-0.627125924	2.663066145	
X - 12844		198			34527	LC/MS (-)	4168	539.24889				-0.242919046	1.083987508	-2.367375717	1.734414918	
5-dodecenoate (12:1n7)	946	200	Lipid	Medium Chain Fatty Acid	33968	LC/MS (-)	5206	197.1547	2430-94-6	5312378		-0.200439919	1.337400916	-2.599573551	1.748910807	HMDB00529
X - 17685		86			40782	LC/MS (-)	2592.6	233.01212				-0.807177073	1.219634966	-0.630599031	3.242253747	
1-myristoyl-GPC (14:0)	1339	200	Lipid	Lysolipid	45453	LC/MS (+)	5481	468.30847	20559-16-4	460604	C04230	-0.390505678	0.844137861	-2.488647339	2.101548363	HMDB10379
X - 19140		86			42547	LC/MS (-)	3638.6	309.10125				-1.001989718	0.781351002	-0.631283038	3.883139316	
X - 19520		83			43073	LC/MS (+)	3640.7	186.14883				-3.089888728	2.533716835	-0.633350715	3.357125537	
X - 12058		200			33410	LC/MS (+)	4350	200.16435				0.940152321	2.181738964	-1.022785619	2.630757362	
N-acetyltyrosine	107	158	Amino Acid	Phenylalanine and Tyrosine Metabolism	32390	LC/MS (-)	1677	222.07718	537-55-3	68310		-0.323449914	0.95252579	-1.296783361	2.351351398	HMDB00866
alanylalanine	387	78	Peptide	Dipeptide	15129	GC/MS	1379.5	271.1	1948-31-8	5484352		-0.885057146	0.658581431	-0.636154782	2.948410326	HMDB28680
X - 16653		200			39229	LC/MS (-)	4505.4	244.90773				0.190387959	1.079495729	-3.883320407	2.612491403	
bilirubin	2321	190	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	27716	LC/MS (-)	4812	583.2562	635-65-4	5280352	C00486	-0.284237105	1.541314054	-2.570983117	2.563891194	HMDB00054
indoleacetate	181	200	Amino Acid	Tryptophan Metabolism	27513	LC/MS (+)	3760	176.07061	6505-45-9	802	C00954	-0.004558487	0.823688352	-4.476661903	2.461278979	HMDB00197
X - 17357		184			40165	LC/MS (-)	4095	541.26367				-0.183533382	0.977855143	-2.021571061	1.961971894	
gamma-tocopherol	2295	198	Cofactors and Vitamins	Tocopherol Metabolism	33420	GC/MS	2264	488.4	54-28-4	14986	C02483	-0.06372207	0.917012146	-2.339815602	3.282420531	HMDB01492
X - 12258		75			33680	LC/MS (-)	2270	230.0129				-1.299756186	1.40462958	-0.649102468	3.264312765	
X - 14665		85			36592	LC/MS (-)	1498	232.02804				-1.388219568	1.477779218	-0.649376088	3.937156735	
"5alpha-androstan-3alpha,17beta-diol monosulfate 1*"	1612	93	Lipid	Steroid	37186	LC/MS (-)	4915	371.18976				-1.912635219	1.490453576	-0.650408603	3.285600362	
pentadecanoate (15:0)	950	192	Lipid	Long Chain Fatty Acid	1361	GC/MS	1853.5	299.2	1002-84-2;10002-84-2	13849	C16537	0.031704392	0.694148995	-2.386451067	1.891407302	HMDB00826
X - 12063		177			33415	LC/MS (-)	4822	427.21514				-0.416693031	1.418558035	-1.680801892	2.681533142	
21-hydroxypregnenolone monosulfate 1*	1550	96	Lipid	Steroid	37174	LC/MS (-)	4616	411.18468	88378-34-1	174681		-0.54557604	1.356179956	-0.653683552	3.209393015	
C-glycosyltryptophan*	214	200	Amino Acid	Tryptophan Metabolism	32675	LC/MS (+)	1912	367.14998				0.180485329	0.538664543	-1.354509384	3.156123219	
arabonate	2288	200	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	37516	GC/MS	1736	292.1	7643-75-7	122045	C00878	0.010634198	0.654533116	-2.540839784	2.304654005	HMDB00539
X - 14658		191			36585	LC/MS (-)	4812	288.61884				0.418367843	2.252211145	-2.029748807	3.474685341	
"5alpha-androstan-3,17-diol monosulfate (alpha,beta or beta,alpha)*"	1614	79	Lipid	Steroid	37189	LC/MS (-)	5072	371.18976				-2.618731902	1.731764621	-0.667654398	2.790498367	
gamma-CEHC glucuronide*	2299	107	Cofactors and Vitamins	Tocopherol Metabolism	42381	LC/MS (-)	2540	439.16097				-0.983407028	0.892366191	-0.668686547	2.865926826	
X - 14626		137			36553	LC/MS (-)	4856	288.61888				-0.915304085	1.774414339	-1.132122219	2.497453165	
N-acetylalanine	25	192	Amino Acid	Alanine and Aspartate Metabolism	1585	LC/MS (-)	882	130.05096	97-69-8	88064	C02847	0.065585437	0.446126207	-2.529547006	2.7717242	HMDB00766
2-myristoyl-GPC* (14:0)*	1340	200	Lipid	Lysolipid	35626	LC/MS (+)	5450	468.30847				-0.371845139	0.820245227	-2.284010382	2.282166739	
cortisol	1582	200	Lipid	Steroid	1712	LC/MS (+)	4573	363.2166	50-23-7	5754	C00735	0.028623921	1.011866598	-2.428864609	2.651034213	HMDB00063
X - 11677		196			33015	LC/MS (+)	1878	267.09702				-0.226259698	0.976999131	-2.486056924	2.304567036	
X - 14663		78			36590	LC/MS (-)	4336	288.61951				-1.106930719	1.273875713	-0.680646972	3.157049193	
phenylalanylleucine	585	79	Peptide	Dipeptide	40192	LC/MS (-)	4165.3	277.15576	3303-55-7	4078229		-0.911484892	0.85018994	-0.680890373	3.760028661	
corticosterone	1583	187	Lipid	Steroid	5983	LC/MS (+)	4856	347.22169	50-22-6	5753	C02140	0.080801835	1.505180307	-2.095559633	2.010643279	HMDB01547
X - 12712		72			34322	LC/MS (-)	1690	218.99692				-0.742710336	1.015862627	-0.697046537	3.873967523	
X - 17438		108			40267	LC/MS (-)	1986.1	245.1396				-0.445890451	1.328588752	-0.698945301	4.172417564	
stearamide	1103	190	Lipid	"Fatty Acid, Amide"	37487	GC/MS	2071	131	124-26-5	31292	C13846	-0.317005386	1.102403889	-1.328319752	2.036206975	HMDB34146
4-acetaminophen sulfate	2774	69	Xenobiotics	Drug	37475	LC/MS (-)	1779	230.01287	10066-90-7;32113-41-0	83939	C06804	-3.603925952	4.100000201	-0.708741613	2.373238995	HMDB59911
X - 13835		52			35730	LC/MS (-)	1014	169.06139				-1.389551208	1.413078079	-0.710818837	2.601411392	
X - 14619		121			36546	LC/MS (+)	849	160.13292				-1.363091837	1.58268949	-0.713698478	3.127827158	
"1,7-dimethylurate"	2413	85	Xenobiotics	Xanthine Metabolism	34400	LC/MS (-)	1607	195.05236	33868-03-0	91611	C16356	-2.289895145	1.977116268	-0.714052902	2.681311804	HMDB11103
X - 09789		193			32753	LC/MS (-)	2613	153.01899				-0.293600248	1.919155969	-2.483190624	2.100732582	
X - 15382		200			37629	LC/MS (+)	2540	271.10434				-0.221046096	0.569071694	-3.381815355	2.962763464	
X - 17706		95			40803	LC/MS (-)	4691.3	539.25012				-0.700357107	0.696032247	-0.7171602	2.892389711	
alliin	2553	82	Xenobiotics	Food Component/Plant	41494	LC/MS (+)	1028.8	178.05324	556-27-4	87310	C08265	-1.487704085	1.474418646	-0.724009544	3.019659873	HMDB33592
cytidine	2226	199	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	514	LC/MS (+)	1065	244.0928	65-46-3	6175	C00475	-0.061241745	0.736160659	-1.861337648	2.506923165	HMDB00089
tetradecanedioate (C14)	1071	200	Lipid	"Fatty Acid, Dicarboxylate"	35669	LC/MS (-)	3970	257.17583	821-38-5	13185		0.227043168	0.922599487	-1.662382002	5.938759521	HMDB00872
X - 12193		110			35760	LC/MS (-)	2343	201.1133				-0.722766177	0.597102749	-0.730308144	2.808789569	
oleamide	1101	200	Lipid	"Fatty Acid, Amide"	32458	LC/MS (+)	5766	282.27914	301-02-0	5283387	C19670	0.723986878	4.568994526	-1.565954607	1.979014394	HMDB02117
quinate	2694	92	Xenobiotics	Food Component/Plant	18335	GC/MS	1793	345.1	77-95-2	6508	C00296	-0.919558646	1.980498589	-0.739048589	3.703359577	HMDB03072
1-arachidoyl-GPC (20:0)	1361	199	Lipid	Lysolipid	45456	LC/MS (+)	6100	552.40237		24779473	C04230	-0.275886373	1.069581238	-2.391464995	2.531832202	HMDB10390
X - 15606		54			37855	LC/MS (-)	3196	246.95				-2.744307445	4.027383149	-0.742066442	3.376626249	
"5,6-dihydrothymine"	2244	200	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	1418	LC/MS (+)	1639	129.06586	696-04-8	93556	C00906	0.050779413	0.4928715	-2.40597434	3.131325389	HMDB00079
X - 14949		164			36976	LC/MS (+)	957	219.09773				0.205055355	1.372262061	-2.012184933	2.72224935	
2-docosahexaenoyl-GPC* (22:6)*	1374	85	Lipid	Lysolipid	35883	LC/MS (-)	5800	642.3413				-1.214553249	1.134474902	-0.747832946	2.448901323	
X - 17445		127			40274	LC/MS (-)	4515.2	327.6525				-0.398928582	1.06798173	-0.748861464	3.020763667	
palmitic amide	1100	200	Lipid	"Fatty Acid, Amide"	42095	LC/MS (+)	5758	256.26349	629-54-9	69421		1.584999616	3.497229917	-0.973397501	1.804909137	
N-acetyl-beta-alanine	2219	200	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	37432	LC/MS (+)	1460	132.06552	3025-95-4	76406	C01073	0.207416908	0.476027645	-2.251998151	2.212570487	
3-hydroxydecanoate	1185	200	Lipid	"Fatty Acid, Monohydroxy"	22053	LC/MS (-)	4681	187.13396	5561-87-5	26612		0.18823915	1.291581914	-1.769375551	2.012045519	HMDB02203
"5alpha-androstan-3alpha,17alpha-diol monosulfate"	1613	85	Lipid	Steroid	37183	LC/MS (-)	5183	371.18976				-1.74262311	1.314597819	-0.759103016	3.316146937	
X - 13557		155			38363	LC/MS (+)	4224	254.05768				-0.330872285	0.955181057	-1.018825062	6.316362051	
X - 20643		91			45244	LC/MS (-)	3989	539.2489				-0.601186983	0.775720159	-0.766199357	3.237816486	
N-palmitoyltaurine	1299	166	Lipid	Endocannabinoid	39835	LC/MS (-)	5556.8	362.23705	83982-06-3			-0.214343895	1.277313143	-1.359917471	1.748646921	
X - 12462		200			33907	LC/MS (+)	1269	148.04298				-0.197559931	0.589327417	-1.948059476	3.53379417	
X - 18371		96			41590	LC/MS (+)	1846	265.08508				-0.731518247	1.410702094	-0.774068639	3.425560735	
X - 11429		200			32746	LC/MS (-)	1151	245.07744				0.080441047	0.479268825	-2.994924534	2.708088587	
palmitoleate (16:1n7)	952	200	Lipid	Long Chain Fatty Acid	33447	LC/MS (-)	5477	253.2173	373-49-9	445638	C08362	0.108457123	1.064178014	-2.180923583	2.317655587	HMDB03229
phenylalanylaspartate	580	195	Peptide	Dipeptide	41419	LC/MS (+)	1901	281.1132	22828-05-3	335051		0.033170281	0.757517166	-2.905914442	2.32344428	
X - 13859		197			35754	LC/MS (-)	721	286.06039				-0.112293415	0.970509705	-2.522158448	2.348939609	
cinnamoylglycine	2584	100	Xenobiotics	Food Component/Plant	38637	LC/MS (-)	3139	204.06661	16534-24-0	709625		-1.077009354	1.405535002	-0.788838755	2.901546534	
cysteine	285	200	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	31453	GC/MS	1560.1	218	52-90-4;56-89-3	5862	C00097	-0.389070007	0.599052176	-2.258208944	3.605166778	HMDB00574
pyridoxal	2346	126	Cofactors and Vitamins	Vitamin B6 Metabolism	1651	LC/MS (+)	1210	168.06552	65-22-5	1050	C00250	-0.779954243	1.361056452	-0.793078153	4.213103319	HMDB01545
D-urobilin	2326	82	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	40084	LC/MS (+)	4621	589.30207	3947-38-4	6276321	C05795	-1.387698797	1.774727925	-0.793163618	3.117243446	HMDB04161
X - 15474		134			37722	LC/MS (+)	3872	202.1437				-0.060768716	1.983972275	-0.794673358	4.49222733	
4-acetylphenyl sulfate	2795	77	Xenobiotics	Drug	22115	LC/MS (-)	2399	215.00196		4684006	C00548	-1.461926256	1.794920742	-0.800229415	2.828035159	
2-methylcitrate	932	90	Energy	TCA Cycle	37483	GC/MS	1778	287.1	6061-96-7	439681	C02225	-1.078090996	0.908821038	-0.800947346	2.567566864	HMDB00379
3-hydroxy-2-ethylpropionate	256	186	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	32397	GC/MS	1269	247.1	4374-62-3	188979		-0.004347991	0.822632628	-4.292866644	2.449949584	HMDB00396
X - 12117		193			33532	LC/MS (+)	1486	204.13421				-0.28384012	1.227496012	-1.960373292	2.710697575	
